"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","PN"
"AE1","1","Antenna_Chip","","","","Inductor_SMD:L_1206_3216Metric_Pad1.22x1.90mm_HandSolder","2450AT18A100E"
"BT1,BT2","2","Battery_Cell","","","","steew:BH-AAA-B5BA021","BH-AAA-B5BA021"
"C1,C2,C3,C4,C11,C20,C25,C28,C29,C34,C35,C36,C38,C43,C46,C47,C48,C51","18","100N","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","CL05A104KA5NNNC"
"C5,C27,C30,C44","4","680P","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","CC0402JRNPO9BN681"
"C6,C26,C45","3","220P","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","0402B221K500NT"
"C7,C8,C32,C33","4","10P","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","CC0402JRNPO9BN100"
"C9,C13,C17,C18,C22,C37,C39","7","1000P","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","TCC0402X7R102K500AT"
"C10,C31","2","4U7","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","CL05A475MO5NUNC"
"C12","1","1U","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","CL05A105KO5NNNC"
"C14,C15,C16,C21","4","20P","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","CC0402JRNPO9BN200"
"C19","1","100P","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","CC0402KRX7R8BB101"
"C23","1","1P","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","CC0402BRNPO9BN1R0"
"C24","1","1P2","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","GJM1555C1H1R2WB01D"
"C40","1","12P","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","CC0402JRNPO9BN120"
"C41","1","18P","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","CC0402JRNPO9BN180"
"C42","1","15P","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","CC0402JRNPO9BN150"
"C49,C50","2","22U","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","GRM155R60J226ME11D"
"C52,C53","2","10U","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","CL05A106MQ5NUNC"
"J2","1","BWSMA-KWE-Z3.5*4.2","","","","Connector_Coaxial:SMA_BAT_Wireless_BWSMA-KWE-Z001","BWSMA-KWE-Z3.5*4.2"
"J3,J4","2","","","","","steew:YG16-FL7.8-B10Ka(80)-R"," YG16-FL7.8-B10Ka(80)-R"
"J5","1","Conn_01x04_Pin","","","","Connector_JST:JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical",""
"L1","1","100N","","","","Inductor_SMD:L_0603_1608Metric_Pad1.05x0.95mm_HandSolder","LQW18ANR10G00D"
"L2","1","VHF160808H39NJT","","","","Inductor_SMD:L_0603_1608Metric_Pad1.05x0.95mm_HandSolder","VHF160808H39NJT"
"L3","1","4N7","","","","Inductor_SMD:L_0603_1608Metric_Pad1.05x0.95mm_HandSolder"," VHF160808H4N7ST"
"L4","1","2N2","","","","Inductor_SMD:L_0603_1608Metric_Pad1.05x0.95mm_HandSolder","CS0603-2N2J-S"
"L5,L7","2","27N","","","","Inductor_SMD:L_0603_1608Metric_Pad1.05x0.95mm_HandSolder","VHF160808H27NJT"
"L6","1","VHF160808H18NJT","","","","Inductor_SMD:L_0603_1608Metric_Pad1.05x0.95mm_HandSolder","VHF160808H18NJT"
"L8","1","2U2","","","","Inductor_SMD:L_0603_1608Metric_Pad1.05x0.95mm_HandSolder","CMH160808B2R2MT"
"R1,R3,R7,R11,R31,R32,R35","7","10K","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","FRC0402F1002TS"
"R2,R14","2","10R","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","CR0402-FX-10R0GLF"
"R4,R5,R6,R18,R21,R34","6","50K","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","CRCW040250K0FKED"
"R8,R9,R10,R17","4","1K","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","RT0402BRD071KL"
"R12,R16","2","50R","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","RT0402BRE0750RL"
"R13,R22","2","52R3","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","FRC0402F52R3TS"
"R15,R27,R28,R29,R30","5","100R","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","RT0402BRD07100RL"
"R19,R23","2","91R","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","FRC0402F91R0TS"
"R20","1","82R","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","FRC0402F82R0TS"
"R25,R26,R33","3","0R","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","CRCW04020000Z0EE"
"R36","1","3K3","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","CRCW04023K30FKED"
"R37","1","5K","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","FRC0402F5101TS"
"SW1","1","ST-0-102-A01-T000-LF","","","","Button_Switch_THT:SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm","ST-0-102-A01-T000-LF"
"SW2,SW3,SW4,SW5","4","TS-1088-AR02016","","","","Button_Switch_SMD:SW_SPST_TS-1088-xR020","TS-1088-AR02016"
"TH1","1","B59721A0100A062","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","B59721A0100A062"
"U1","1","XA17-G4K","","","","Package_TO_SOT_SMD:SOT-363_SC-70-6","XA17-G4K"
"U2","1","SPF5043Z","","","","Package_TO_SOT_SMD:SOT-343_SC-70-4","SPF5043Z"
"U3","1","MICRF220AYQS","","","","Package_SO:QSOP-16_3.9x4.9mm_P0.635mm","MICRF220AYQS-TR"
"U4,U8","2","H3-TCD-12-222X+","","","","RF_Mini-Circuits:Mini-Circuits_DB1627","H3-TCD-12-222X+"
"U5","1","nRF52810-QFxx","","","","Package_DFN_QFN:QFN-48-1EP_6x6mm_P0.4mm_EP4.2x4.2mm","NRF52810-QFAA-T"
"U6,U7","2","AD8314RM","","","","Package_SO:MSOP-8_3x3mm_P0.65mm","AD8314ARMZ-REEL"
"U9","1","MAX7044AKA","","","","Package_TO_SOT_SMD:TSOT-23-8_HandSoldering","MAX7044AKA+T"
"U10,U11,U13,U14,U15","5","LM358","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","LM358"
"U12","1","GVA-63","","","","Package_TO_SOT_SMD:SOT-89-3_Handsoldering","GVA-63+"
"U16","1","TPS562200","","","","Package_TO_SOT_SMD:SOT-23-6","TPS562208DDCR"
"Y1","1","L327S13CU11L","","","","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering","L327S120U11L"
"Y2","1","32 MHz","","","","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering","X322532MOB4SI"
"Y3","1","32.768 KHz","","","","Crystal:Crystal_SMD_3215-2Pin_3.2x1.5mm","Q13FC13500004"
"Y4","1","13.56 MHz","","","","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering","7U13560E06UCG"
